model_name,chunk_size,delta,noise,ground_threshold,min_support_per_class,precision,recall,f1
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,1,3,0.2641509433962264,1.0,0.41791044776119407
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,2,3,0.3111111111111111,1.0,0.4745762711864407
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,3,3,0.3888888888888889,1.0,0.56
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,4,3,0.48148148148148145,0.9285714285714286,0.6341463414634146
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,5,3,0.5,0.9285714285714286,0.65
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,6,3,0.5294117647058824,0.6428571428571429,0.5806451612903226
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,7,3,0.5714285714285714,0.5714285714285714,0.5714285714285714
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,8,3,0.6363636363636364,0.5,0.56
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,9,3,0.8571428571428571,0.42857142857142855,0.5714285714285714
deepseek-ai_DeepSeek-V3.1,50,0.02,0.01,10,3,0.8333333333333334,0.35714285714285715,0.5
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,1,3,0.2916666666666667,1.0,0.45161290322580644
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,2,3,0.3888888888888889,1.0,0.56
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,3,3,0.4827586206896552,1.0,0.6511627906976745
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,4,3,0.5,0.9285714285714286,0.65
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,5,3,0.5789473684210527,0.7857142857142857,0.6666666666666667
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,6,3,0.7272727272727273,0.5714285714285714,0.64
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,7,3,0.7777777777777778,0.5,0.6086956521739131
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,8,3,0.875,0.5,0.6363636363636364
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,9,3,0.8,0.2857142857142857,0.4210526315789473
deepseek-ai_DeepSeek-V3.1,50,0.02,0.02,10,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,1,3,0.32558139534883723,1.0,0.49122807017543857
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,2,3,0.4666666666666667,1.0,0.6363636363636364
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,3,3,0.5416666666666666,0.9285714285714286,0.6842105263157894
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,4,3,0.5882352941176471,0.7142857142857143,0.6451612903225806
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,5,3,0.6923076923076923,0.6428571428571429,0.6666666666666666
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,6,3,0.875,0.5,0.6363636363636364
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,7,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,8,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,9,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.03,10,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,1,3,0.4,1.0,0.5714285714285715
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,2,3,0.5,0.9285714285714286,0.65
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,3,3,0.6666666666666666,0.8571428571428571,0.75
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,4,3,0.75,0.42857142857142855,0.5454545454545454
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,5,3,0.7142857142857143,0.35714285714285715,0.4761904761904762
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,6,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,7,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,8,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,9,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.04,10,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,1,3,0.45161290322580644,1.0,0.6222222222222222
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,2,3,0.5217391304347826,0.8571428571428571,0.6486486486486486
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,3,3,0.7777777777777778,0.5,0.6086956521739131
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,4,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,5,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,6,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,7,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,8,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.05,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,1,3,0.4827586206896552,1.0,0.6511627906976745
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,2,3,0.6,0.6428571428571429,0.6206896551724138
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,3,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,4,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,5,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.06,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,1,3,0.5416666666666666,0.9285714285714286,0.6842105263157894
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,2,3,0.875,0.5,0.6363636363636364
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,3,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,4,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.07,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,1,3,0.5,0.7142857142857143,0.588235294117647
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,2,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,3,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,4,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,8,3,0.0,0.0,0.0
