dataset,model,auroc,accuracy
gpqa,openai_gpt-oss-120b,0.5964,0.6414
gpqa,Qwen_Qwen3-32B,0.6835,0.5758
gpqa,openai_gpt-oss-20b,0.5432,0.5808
gpqa,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.6787,0.6162
mmlupro,openai_gpt-oss-120b,0.5337,0.8714
mmlupro,Qwen_Qwen3-32B,0.635,0.8571
mmlupro,openai_gpt-oss-20b,0.7733,0.8143
mmlupro,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.7273,0.8429
scifact_without_evidence,openai_gpt-oss-120b,0.7065,0.7524
scifact_without_evidence,Qwen_Qwen3-32B,0.6113,0.5728
scifact_without_evidence,openai_gpt-oss-20b,0.5867,0.7184
scifact_without_evidence,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.5911,0.5728
scifact_with_evidence,openai_gpt-oss-120b,0.6511,0.8738
scifact_with_evidence,Qwen_Qwen3-32B,0.6987,0.8301
