dataset,model,auroc,accuracy
gpqa,openai_gpt-oss-120b,0.596,0.6414
gpqa,Qwen_Qwen3-32B,0.6891,0.5758
gpqa,openai_gpt-oss-20b,0.551,0.5808
gpqa,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.6832,0.6162
mmlupro,openai_gpt-oss-120b,0.5301,0.8714
mmlupro,Qwen_Qwen3-32B,0.6233,0.8571
mmlupro,openai_gpt-oss-20b,0.7692,0.8143
mmlupro,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.718,0.8429
scifact_without_evidence,openai_gpt-oss-120b,0.6921,0.7524
scifact_without_evidence,Qwen_Qwen3-32B,0.6187,0.5728
scifact_without_evidence,openai_gpt-oss-20b,0.6009,0.7184
scifact_without_evidence,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.6383,0.5728
scifact_with_evidence,openai_gpt-oss-120b,0.6622,0.8738
scifact_with_evidence,Qwen_Qwen3-32B,0.7146,0.8301
