dataset,model,auroc,accuracy
gpqa,openai_gpt-oss-120b,0.6632,0.6414
gpqa,Qwen_Qwen3-32B,0.7321,0.5758
gpqa,openai_gpt-oss-20b,0.5489,0.5808
gpqa,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.6073,0.6162
mmlupro,openai_gpt-oss-120b,0.4827,0.8714
mmlupro,Qwen_Qwen3-32B,0.5183,0.8571
mmlupro,openai_gpt-oss-20b,0.753,0.8143
mmlupro,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.5778,0.8429
scifact_without_evidence,openai_gpt-oss-120b,0.6942,0.7524
scifact_without_evidence,Qwen_Qwen3-32B,0.6076,0.5728
scifact_without_evidence,openai_gpt-oss-20b,0.5414,0.7184
scifact_without_evidence,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.5863,0.5728
scifact_with_evidence,openai_gpt-oss-120b,0.6796,0.8738
scifact_with_evidence,Qwen_Qwen3-32B,0.6206,0.8301
