dataset,model,auroc,accuracy
gpqa,openai_gpt-oss-120b,0.656,0.6414
gpqa,Qwen_Qwen3-32B,0.8443,0.5758
gpqa,openai_gpt-oss-20b,0.826,0.5808
gpqa,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.7086,0.6162
mmlupro,openai_gpt-oss-120b,0.6958,0.8714
mmlupro,Qwen_Qwen3-32B,0.7492,0.8571
mmlupro,openai_gpt-oss-20b,0.7679,0.8143
mmlupro,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.5809,0.8429
scifact_without_evidence,openai_gpt-oss-120b,0.6096,0.7524
scifact_without_evidence,Qwen_Qwen3-32B,0.6987,0.5728
scifact_without_evidence,openai_gpt-oss-20b,0.6435,0.7184
scifact_without_evidence,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,0.6579,0.5728
scifact_with_evidence,openai_gpt-oss-120b,0.6728,0.8738
scifact_with_evidence,Qwen_Qwen3-32B,0.8413,0.8301
